epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,1916.67,0.45515,0.28704,0.85271,0.99943,1,0.995,0.90893,0.42322,0.28081,0.82313,0.0012146,0.0012146,0.0012146
121,1932.6,0.46787,0.30643,0.8449,0.99941,1,0.995,0.91602,0.41773,0.2889,0.82085,0.001208,0.001208,0.001208
122,1948.52,0.46931,0.30037,0.84515,0.99941,1,0.995,0.91101,0.44719,0.29925,0.82611,0.0012014,0.0012014,0.0012014
123,1964.53,0.46509,0.29664,0.85155,0.99943,1,0.995,0.91137,0.43308,0.27224,0.82766,0.0011948,0.0011948,0.0011948
124,1980.49,0.46846,0.29749,0.86083,0.99944,1,0.995,0.92084,0.42186,0.26438,0.82523,0.0011882,0.0011882,0.0011882
125,1996.41,0.46119,0.29767,0.85864,0.99942,1,0.995,0.90947,0.43374,0.26593,0.82189,0.0011816,0.0011816,0.0011816
126,2012.32,0.46332,0.30188,0.84179,0.99936,1,0.995,0.91939,0.42514,0.27349,0.81819,0.001175,0.001175,0.001175
127,2028.25,0.45383,0.29923,0.84513,0.99941,1,0.995,0.92216,0.43245,0.28202,0.82586,0.0011684,0.0011684,0.0011684
128,2044.17,0.45561,0.29401,0.84954,0.99944,1,0.995,0.91215,0.46013,0.28982,0.83042,0.0011618,0.0011618,0.0011618
129,2060.09,0.45683,0.29104,0.84284,0.99944,1,0.995,0.92087,0.42737,0.26741,0.82567,0.0011552,0.0011552,0.0011552
130,2075.95,0.45054,0.28666,0.83863,0.99944,1,0.995,0.91331,0.4131,0.26919,0.81997,0.0011486,0.0011486,0.0011486
131,2091.81,0.4249,0.28499,0.83875,0.99942,1,0.995,0.91616,0.43958,0.2809,0.82266,0.001142,0.001142,0.001142
132,2107.77,0.43356,0.27885,0.83461,0.99943,1,0.995,0.92749,0.40044,0.26024,0.81548,0.0011354,0.0011354,0.0011354
133,2123.56,0.45808,0.29007,0.85272,1,1,0.995,0.92503,0.40962,0.26087,0.81817,0.0011288,0.0011288,0.0011288
134,2139.49,0.43658,0.28668,0.8365,0.99944,1,0.995,0.9124,0.43489,0.27745,0.82275,0.0011222,0.0011222,0.0011222
135,2155.45,0.44012,0.28301,0.83376,0.99943,1,0.995,0.91965,0.41581,0.25196,0.8204,0.0011156,0.0011156,0.0011156
136,2171.37,0.44487,0.28717,0.84106,0.99944,1,0.995,0.91982,0.42025,0.26491,0.82016,0.001109,0.001109,0.001109
137,2187.25,0.43783,0.29022,0.83806,0.99945,1,0.995,0.92465,0.43707,0.26146,0.8214,0.0011024,0.0011024,0.0011024
138,2203.1,0.44939,0.29327,0.83535,0.99939,1,0.995,0.91769,0.42344,0.26109,0.81945,0.0010958,0.0010958,0.0010958
139,2219.05,0.4357,0.28374,0.847,0.9994,1,0.995,0.92486,0.41719,0.26084,0.82037,0.0010892,0.0010892,0.0010892
140,2235,0.43752,0.28928,0.84893,0.99942,1,0.995,0.91499,0.43042,0.26867,0.82025,0.0010826,0.0010826,0.0010826
141,2250.97,0.43909,0.28429,0.84473,0.99944,1,0.995,0.92612,0.4169,0.26114,0.81994,0.001076,0.001076,0.001076
142,2266.87,0.43792,0.28357,0.84817,0.99944,1,0.995,0.92817,0.41409,0.25753,0.81848,0.0010694,0.0010694,0.0010694
143,2282.77,0.44759,0.28406,0.84706,0.99944,1,0.995,0.92258,0.40666,0.25033,0.82292,0.0010628,0.0010628,0.0010628
144,2298.74,0.44783,0.28503,0.84688,0.99944,1,0.995,0.92352,0.40421,0.24258,0.8181,0.0010562,0.0010562,0.0010562
145,2314.7,0.44632,0.2835,0.85311,0.99943,1,0.995,0.91546,0.43891,0.25994,0.82404,0.0010496,0.0010496,0.0010496
146,2330.68,0.43441,0.28528,0.84612,0.99944,1,0.995,0.92031,0.42143,0.26711,0.82042,0.001043,0.001043,0.001043
147,2346.66,0.44032,0.27792,0.85144,0.99945,1,0.995,0.92104,0.42233,0.26055,0.82155,0.0010364,0.0010364,0.0010364
148,2362.58,0.42226,0.27312,0.84614,0.99944,1,0.995,0.92614,0.41678,0.25124,0.8201,0.0010298,0.0010298,0.0010298
149,2378.48,0.41413,0.27913,0.83172,0.99944,1,0.995,0.92477,0.41771,0.25262,0.8167,0.0010232,0.0010232,0.0010232
150,2394.43,0.41223,0.26919,0.84015,0.99944,1,0.995,0.92037,0.42155,0.25251,0.81704,0.0010166,0.0010166,0.0010166
151,2410.35,0.44204,0.27946,0.85177,0.99943,1,0.995,0.9184,0.4035,0.2483,0.8172,0.00101,0.00101,0.00101
152,2426.27,0.42703,0.27151,0.83627,0.99944,1,0.995,0.9206,0.39274,0.2389,0.8144,0.0010034,0.0010034,0.0010034
153,2442.02,0.45443,0.28721,0.849,0.99944,1,0.995,0.91674,0.42586,0.25462,0.81835,0.0009968,0.0009968,0.0009968
154,2458,0.44282,0.2778,0.8394,0.99944,1,0.995,0.92224,0.39941,0.2453,0.81835,0.0009902,0.0009902,0.0009902
155,2473.97,0.43881,0.27078,0.84269,0.99944,1,0.995,0.91222,0.42827,0.25491,0.821,0.0009836,0.0009836,0.0009836
156,2489.79,0.42387,0.26756,0.8414,0.99943,1,0.995,0.92188,0.39412,0.22761,0.81726,0.000977,0.000977,0.000977
157,2505.58,0.44993,0.28202,0.84633,0.9994,1,0.995,0.91394,0.42119,0.24224,0.82085,0.0009704,0.0009704,0.0009704
158,2521.52,0.43214,0.27511,0.8459,0.99945,1,0.995,0.91273,0.43528,0.25621,0.82216,0.0009638,0.0009638,0.0009638
159,2537.5,0.44004,0.28024,0.85262,0.99946,1,0.995,0.92169,0.42869,0.23625,0.82267,0.0009572,0.0009572,0.0009572
